index,System Size,Average Avalanche Size,STD Avalanche Size,Average Avalanche Duration,Characteristic Avalanche Size,Case
0,10,2.044684,0.33860692,0.000024,4.588963,General
1,11,2.053434,0.35686437,0.000024,5.023857,General
2,12,2.061236,0.37308762,0.000024,5.023895,General
3,13,2.06372,0.37403816,0.000024,5.023702,General
4,14,2.068929,0.39207313,0.000025,5.045775,General
5,15,2.069898,0.39162388,0.000026,5.370983,General
6,16,2.075667,0.41452172,0.000029,5.371661,General
7,17,2.085302,0.43478826,0.00003,5.436652,General
8,18,2.094893,0.45815382,0.000032,5.457764,General
9,19,2.098714,0.47376468,0.000034,5.887326,General
10,20,2.104428,0.46550384,0.000037,5.930112,General
11,21,2.119473,0.51109596,0.000041,5.953017,General
12,10,2.034085,0.309887,0.000017,4.676577,High V Low T
13,11,2.049238,0.350024,0.000017,4.849307,High V Low T
14,12,2.059514,0.380192,0.000017,4.936588,High V Low T
15,13,2.061525,0.383289,0.000017,4.936624,High V Low T
16,14,2.067717,0.388932,0.000017,5.19742,High V Low T
17,15,2.074616,0.408048,0.000017,5.284201,High V Low T
18,16,2.083479,0.437116,0.000017,5.369437,High V Low T
19,17,2.089402,0.447175,0.000017,5.456253,High V Low T
20,18,2.094156,0.460246,0.000019,5.630649,High V Low T
21,19,2.097483,0.464662,0.000034,5.801714,High V Low T
22,20,2.101492,0.474771,0.000034,5.802285,High V Low T
23,21,2.108946,0.488046,0.000051,5.888388,High V Low T
24,10,2.034506,0.28685698,0.000017,3.990223,Low V high T
25,11,2.046665,0.32165387,0.000017,4.414567,Low V high T
26,12,2.049891,0.33596591,0.000017,4.515075,Low V high T
27,13,2.056032,0.37447444,0.000017,4.499684,Low V high T
28,14,2.070436,0.40019587,0.000017,4.58813,Low V high T
29,15,2.071991,0.40224412,0.000017,4.9339,Low V high T
30,16,2.078437,0.40970618,0.000017,4.956603,Low V high T
31,17,2.081197,0.45789823,0.000017,5.023405,Low V high T
32,18,2.087229,0.4150574,0.000017,5.024916,Low V high T
33,19,2.09244,0.44192988,0.000017,5.109806,Low V high T
34,20,2.09253,0.4642824,0.000034,5.284047,Low V high T
35,21,2.104053,0.43645408,0.000068,5.544546,Low V high T